S/No.,REGION,COUNTY,SUB,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
1808,RIFT VALLEY,KERICHO,KIPKELION,HE65,28539108,KAMARUS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1809,RIFT VALLEY,KERICHO,KIPKELION,KP75,28539404,KAPIAS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1810,RIFT VALLEY,KERICHO,KIPKELION,WEF7,28539403,KAPKWEN DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1811,RIFT VALLEY,KERICHO,KIPKELION,DN3C,28539313,KAPLELIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1812,RIFT VALLEY,KERICHO,KIPKELION,CGUU,28539203,KASHEEN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1813,RIFT VALLEY,KERICHO,KIPKELION,LJE4,28539111,KIMOLOGIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1814,RIFT VALLEY,KERICHO,KIPKELION,XG6L,28539107,KIPCHORIAN DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1815,RIFT VALLEY,KERICHO,KIPKELION,NLDR,28539205,KIPSEGI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1816,RIFT VALLEY,KERICHO,KIPKELION,G8P5,28539405,KIPTENDEN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1817,RIFT VALLEY,KERICHO,KIPKELION,WYA7,28539311,KOISAGAT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1818,RIFT VALLEY,KERICHO,KIPKELION,B7CP,28539302,KOKWET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1819,RIFT VALLEY,KERICHO,KIPKELION,MVUT,28539315,KOROSYOT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1820,RIFT VALLEY,KERICHO,KIPKELION,2W7V,28539401,KUNYAK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1821,RIFT VALLEY,KERICHO,KIPKELION,JNND,28539104,LESIRWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1822,RIFT VALLEY,KERICHO,KIPKELION,9SCE,28539308,MAGIRE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1823,RIFT VALLEY,KERICHO,KIPKELION,YPBY,28539406,MENET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1824,RIFT VALLEY,KERICHO,KIPKELION,U9HB,28539201,MURAO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1825,RIFT VALLEY,KERICHO,KIPKELION,PEG6,28539206,NYAIROBI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1826,RIFT VALLEY,KERICHO,KIPKELION,8R33,28539309,SAMOLEL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1827,RIFT VALLEY,KERICHO,KIPKELION,BAJU,28539310,SERENG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1828,RIFT VALLEY,KERICHO,KIPKELION,BAXB,28539113,SIMOTWET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1829,RIFT VALLEY,KERICHO,KIPKELION,AVEZ,28539106,SIRET DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1830,RIFT VALLEY,KERICHO,KIPKELION,BZ9B,28539314,SIWOT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1831,RIFT VALLEY,KERICHO,KIPKELION,7SJZ,28539112,SUGUTEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1832,RIFT VALLEY,KERICHO,KIPKELION,L37J,28539109,TUIYOBEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1833,RIFT VALLEY,KERICHO,KIPKELION,QK2K,28539312,TULWAPMOI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1834,RIFT VALLEY,KERICHO,KIPKELION,VXUS,28539306,TUNNEL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1835,RIFT VALLEY,KERICHO,LONDIANI,99Z3,28571402,BARAKA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1836,RIFT VALLEY,KERICHO,LONDIANI,WBL3,28571102,CHEBEWOR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1837,RIFT VALLEY,KERICHO,LONDIANI,GRV4,28571605,CHEPCHOLIET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1838,RIFT VALLEY,KERICHO,LONDIANI,6NAC,28571502,CHEPSEON COMPLEX SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1839,RIFT VALLEY,KERICHO,LONDIANI,93YL,28571501,CHEPSEON GIRLS HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1840,RIFT VALLEY,KERICHO,LONDIANI,FPTQ,28571302,CHERES SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,mixed
1841,RIFT VALLEY,KERICHO,LONDIANI,FRQX,28571205,FINCH SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,mixed
1842,RIFT VALLEY,KERICHO,LONDIANI,42TM,28571305,JAGOROR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1843,RIFT VALLEY,KERICHO,LONDIANI,CGD5,28571210,JUBILEE SEC SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,mixed
1844,RIFT VALLEY,KERICHO,LONDIANI,YUY9,28571204,KAPKONDOR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1845,RIFT VALLEY,KERICHO,LONDIANI,5ZUU,28571606,KAPSEGER SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1846,RIFT VALLEY,KERICHO,LONDIANI,RU49,28571209,KAPSENDA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1847,RIFT VALLEY,KERICHO,LONDIANI,5UZG,28571409,KAPTICH SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1848,RIFT VALLEY,KERICHO,LONDIANI,49WG,28571105,KEDOWA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1849,RIFT VALLEY,KERICHO,LONDIANI,BFHM,28571508,KILETIEN MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1850,RIFT VALLEY,KERICHO,LONDIANI,JLMV,28571505,KIMUGUL DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1851,RIFT VALLEY,KERICHO,LONDIANI,6P6Y,28571506,KIPRENGWE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1852,RIFT VALLEY,KERICHO,LONDIANI,FDZ6,28571207,KIPSIRICHET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1853,RIFT VALLEY,KERICHO,LONDIANI,7JDX,28571507,KISABO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1854,RIFT VALLEY,KERICHO,LONDIANI,CV2Z,28571510,LEBERER SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1855,RIFT VALLEY,KERICHO,LONDIANI,QKYM,28571206,LONDIANI TOWNSHIP SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1856,RIFT VALLEY,KERICHO,LONDIANI,PGJG,28571403,MASAITA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1857,RIFT VALLEY,KERICHO,LONDIANI,BXKV,28571401,MOI SORGET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1858,RIFT VALLEY,KERICHO,LONDIANI,5BSS,28571602,MOMONIAT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1859,RIFT VALLEY,KERICHO,LONDIANI,2GN4,28571108,RINGA MIXED DAY SECONDARY KEDOWA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1860,RIFT VALLEY,KERICHO,LONDIANI,Z3KP,28571304,SARAMEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1861,RIFT VALLEY,KERICHO,LONDIANI,AS8A,28571408,SETEK HILL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1862,RIFT VALLEY,KERICHO,LONDIANI,NJDZ,28571407,SIMBOIYON MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
1863,RIFT VALLEY,KERICHO,LONDIANI,U56M,28571504,SITIAN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1864,RIFT VALLEY,KERICHO,LONDIANI,U54G,28571404,TENDENO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1865,RIFT VALLEY,KERICHO,LONDIANI,NDGC,28571107,TESTAI DAY MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1866,RIFT VALLEY,KERICHO,LONDIANI,AB9V,28571603,TUGUNON SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1867,RIFT VALLEY,KERICHO,LONDIANI,GRUD,28571106,TULWAP KIPSIGIS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1868,RIFT VALLEY,KERICHO,LONDIANI,U7G3,28571406,TUMAINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1869,RIFT VALLEY,KERICHO,LONDIANI,VXMK,28571208,UNITED SOY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1870,RIFT VALLEY,KERICHO,SOIN,WAFH,28575115,AIC KAKIBEI GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1871,RIFT VALLEY,KERICHO,SSIOGIONWET,RJMS,28575121,CHEPTUIYET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1872,RIFT VALLEY,KERICHO,SSIOGIONWET,DGBR,28575215,CHERAMOR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1873,RIFT VALLEY,KERICHO,SSIOGIONWET,DGLZ,28575118,IRAA GIRLS HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1874,RIFT VALLEY,KERICHO,SSIOGIONWET,SWRT,28575122,ITIBET MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1875,RIFT VALLEY,KERICHO,SSIOGIONWET,BNAM,28575208,KABOKYEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1876,RIFT VALLEY,KERICHO,SSIOGIONWET,VBTH,28575202,KAITUI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1877,RIFT VALLEY,KERICHO,SSIOGIONWET,N6JN,28575110,KALYONGWET MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1878,RIFT VALLEY,KERICHO,SSIOGIONWET,6E+45,28575218,KAMASEGA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1879,RIFT VALLEY,KERICHO,SSIOGIONWET,AJL5,28575214,KAPCHEBWAI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1880,RIFT VALLEY,KERICHO,SSIOGIONWET,V665,28575116,KAPKEBURU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1881,RIFT VALLEY,KERICHO,SSOIGIONWET,UBH5,28585217,KAPKORMOM MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1882,RIFT VALLEY,KERICHO,SSIOGIONWET,WW7V,28575119,KAPSOROK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1883,RIFT VALLEY,KERICHO,SSOIGIONWET,36YB,28575216,KAPTALAMWA DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1884,RIFT VALLEY,KERICHO,SSOIGIONWET,F7S7,28575112,KAPTEBENGWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1885,RIFT VALLEY,KERICHO,SSOIGIONWET,HTW4,28575117,KEBENETI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1886,RIFT VALLEY,KERICHO,SSIOGIONWET,E95M,28575219,KEJIRIET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1887,RIFT VALLEY,KERICHO,SSIOGIONWET,FZ2Z,28575213,KILEGES SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1888,RIFT VALLEY,KERICHO,SSOIGIONWET,FNZK,28575108,KIPSAMOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1889,RIFT VALLEY,KERICHO,SSOIGIONWET,N232,28575211,KIPSITET DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1890,RIFT VALLEY,KERICHO,SSIOGIONWET,8DRS,28575123,KOILSIR MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1891,RIFT VALLEY,KERICHO,SSIOGIONWET,GZC8,28575113,MARUMBASI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1892,RIFT VALLEY,KERICHO,SSIOGIONWET,G7BQ,28575209,MOTERO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1893,RIFT VALLEY,KERICHO,SSIOGIONWET,66BU,28575205,NGENY KOIBOROT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1894,RIFT VALLEY,KERICHO,SSIOGIONWET,ETSL,28575212,NYABERI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1895,RIFT VALLEY,KERICHO,SSIOGIONWET,MFEV,28575111,SONDU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1896,RIFT VALLEY,KERICHO,SSOIGIONWET,KJV9,28575120,SUMEEK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1897,CENTRAL,KIAMBU,GSIAGTOUWNEDTU,WYYJ,11236115,GACEGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1898,CENTRAL,KIAMBU,NGAOTRUTNHDU,S4GW,11236135,GAKOE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1899,CENTRAL,KIAMBU,GNAOTRUTNHDU,HBD2,11236134,GATEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1900,CENTRAL,KIAMBU,GNAOTRUTNHDU,C2GT,11236141,HOLY ROSARY KAMWANGI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1901,CENTRAL,KIAMBU,NGAOTRUTNHDU,UTB2,11236108,IGEGANIA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1902,CENTRAL,KIAMBU,GNAOTRUTNHDU,2GJS,11236126,IMMACULATE HEART OF MARY KAIRI GIRLS SECONDARY SC,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1903,CENTRAL,KIAMBU,NGAOTRUTNHDU,KJZZ,11236138,IRURI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1904,CENTRAL,KIAMBU,GATUNDU,ZF9F,11236131,KAIBERE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1905,CENTRAL,KIAMBU,NGOARTTUHNDU,WER4,11236130,KAMUNYAKA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1906,CENTRAL,KIAMBU,GANTOURNTDHU,ZUXX,11236122,KAMWIRIGI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1907,CENTRAL,KIAMBU,GANTOURNTDHU,MHVX,11236114,KANJUKU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1908,CENTRAL,KIAMBU,GANTOURNTDHU,3NJC,11236113,KIANGUNU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1909,CENTRAL,KIAMBU,GANTOURNTDHU,E4VM,11236139,KIRIKO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1910,CENTRAL,KIAMBU,GANTOURNTDHU,MAJD,11236127,MARIA-INI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1911,CENTRAL,KIAMBU,GANTOURNTDHU,U2MD,11236109,MATAARA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1912,CENTRAL,KIAMBU,GANTOURNTDHU,AFYU,11236120,MBICHI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1913,CENTRAL,KIAMBU,GANTOURNTDHU,Y5Z5,11236140,MITERO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1914,CENTRAL,KIAMBU,GANTOURNTDHU,LTNF,11236128,MUKURWE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1915,CENTRAL,KIAMBU,GANTOURNTDHU,4828,11236118,MUTUMA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1916,CENTRAL,KIAMBU,GANTOURNTDHU,52UH,11236136,MWEA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1917,CENTRAL,KIAMBU,GANTOURNTDHU,JL6H,11236121,NDEKEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1918,CENTRAL,KIAMBU,GANTOURNTDHU,KCEM,11236112,NGETHU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1919,CENTRAL,KIAMBU,GANTOURNTDHU,XPQH,11236117,NJAHI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1920,CENTRAL,KIAMBU,GANTOURNTDHU,32KR,11236110,NYAMANG'ARA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1921,CENTRAL,KIAMBU,GANTOURNTDHU,5SSN,11236103,NYAMATHUMBI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1922,CENTRAL,KIAMBU,GANTOURNTDHU,WDAY,11236129,P.C.E.A MUKUYU-INI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1923,CENTRAL,KIAMBU,GANTOURNTDHU,2MND,11236107,RUMWE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1924,CENTRAL,KIAMBU,GANTOURNTDHU,8LP8,11236104,ST JOSEPH THE WORKER SECONDARY SCHOOL MANGU,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1925,CENTRAL,KIAMBU,GANTOURNTDHU,Z4AE,11236125,ST.STEPHEN NDIKO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1926,CENTRAL,KIAMBU,GANTOURNTDHU,RKD5,11212139,CHRIST THE KING GATHAGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1927,CENTRAL,KIAMBU,GASOTUNTHDU,9PFQ,11212111,GACHIKA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1928,CENTRAL,KIAMBU,GASOTUNTHDU,5H6K,11212140,GACHOKA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1929,CENTRAL,KIAMBU,GASOTUNTHDU,3MXH,11212123,GATHURI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,BOYS
1930,CENTRAL,KIAMBU,GASOTUNTHDU,F7FL,11212134,GATITU HIGH SCHOOL -GATUNDU,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1931,CENTRAL,KIAMBU,GASOTUNTHDU,49MF,11212125,GATUNDU HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1932,CENTRAL,KIAMBU,GASOTUNTHDU,SV7H,11212112,GITARE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1933,CENTRAL,KIAMBU,GASOTUNTHDU,BCXZ,11212138,GITHUYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1934,CENTRAL,KIAMBU,GASOTUNTHDU,TA39,11212133,HANDEGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1935,CENTRAL,KIAMBU,GASOTUNTHDU,4V6B,11212126,KAGIO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1936,CENTRAL,KIAMBU,GASOTUNTHDU,WFGA,11212120,KAMUTUA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
1937,CENTRAL,KIAMBU,GASOTUNTHDU,8JT2,11212122,KIAMWANGI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1938,CENTRAL,KIAMBU,GASTOUUNTDHU,G682,11212113,KIGANJO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1939,CENTRAL,KIAMBU,SGOAUTTUHNDU,CRDL,11212129,MUNYU-INI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
1940,CENTRAL,KIAMBU,GSOAUTTUHNDU,AKFV,11212132,MUTHURUMBI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1941,CENTRAL,KIAMBU,GSOAUTTUHNDU,YTVR,11212124,NDARUGU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
1942,CENTRAL,KIAMBU,GSOAUTTUHNDU,8GM2,11212116,NDUNDU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
1943,CENTRAL,KIAMBU,GSOAUTTUHNDU,EQQX,11212107,NGENDA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1944,CENTRAL,KIAMBU,SGOAUTTUHNDU,VYHT,11212131,P.C.E.A.RUBURI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1945,CENTRAL,KIAMBU,SGOAUTTUHNDU,YXVR,11212119,ST. AUGUSTINE SECONDARY SCHOOL - GIKURE,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
1946,CENTRAL,KIAMBU,GSOAUTTUHNDU,2MF3,11212135,ST. DOMINIC SECONDARY SCHOOL - IKUMA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1947,CENTRAL,KIAMBU,SGOAUTTUHNDU,BGR6,11212127,ST. RITA WAMWANGI HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1948,CENTRAL,KIAMBU,SGOITUHTUHNGU,DQCA,11232202,GATHAITHI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1949,CENTRAL,KIAMBU,GRIITHUNGU,GFUV,11232109,GATHANJI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1950,CENTRAL,KIAMBU,GRIITHUNGU,9RAX,11232306,GATHUGU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1951,CENTRAL,KIAMBU,GRIITHUNGU,PB65,11232204,GIKANG'A KAGECHE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1952,CENTRAL,KIAMBU,RGIITHUNGU,F2JH,11232112,GITHUNGURI TECHNICAL AND SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1953,CENTRAL,KIAMBU,RGIITHUNGU,KXVD,11232207,GITIHA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1954,CENTRAL,KIAMBU,GRIITHUNGU,NWNG,11232311,KAGEMA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1955,CENTRAL,KIAMBU,RGIITHUNGU,C7ZE,11232111,KAHUNIRA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1956,CENTRAL,KIAMBU,GRIITHUNGU,RV7Z,11232209,KAMONDO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1957,CENTRAL,KIAMBU,RGIITHUNGU,XMVG,11232110,KANJAI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1958,CENTRAL,KIAMBU,RGIITHUNGU,XDCF,11232103,KIAIRIA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1959,CENTRAL,KIAMBU,GRIITHUNGU,G8CK,11232305,KIAMBURURU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1960,CENTRAL,KIAMBU,GITHUNGU,LX27,11232312,KIAWAIRIA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1961,CENTRAL,KIAMBU,GRIITHUNGU,AWZG,11232307,KIGUMO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1962,CENTRAL,KIAMBU,GRIITHUNGU,WHGC,11232108,MIGUTA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1963,CENTRAL,KIAMBU,GRIITHUNGU,EEWB,11232116,MIIRI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1964,CENTRAL,KIAMBU,GRIITHUNGU,L9WF,11232105,MUKUA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1965,CENTRAL,KIAMBU,GRIITHUNGU,7U5W,11232203,MUKUYU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1966,CENTRAL,KIAMBU,GRIITHUNGU,AMHF,11232114,NDIRETI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1967,CENTRAL,KIAMBU,RGIITHUNGU,ECAL,11232106,NYAGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
