S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
6443,CENTRAL,MURANG'A,MUERAASNTG'A,4C4W,10204114,MURANGA SCHOOL FOR HEARING IMPAIRED - PUBLIC,C1,PUBLIC,SNE,HI,BOARDING,MIXED
6470,CENTRAL,MURANG'A,MUERAASNTG'A,XAUE,10208201,KAMAHUHA GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6501,NAIROBI,NAIROBI,DAGSOORUETTHTI,3KSM,20400001,LENANA SCHOOL,C1,PUBLIC,INTERGRATE,PH,BOARDING,BOYS
6506,NAIROBI,NAIROBI,DAGORETTI,P5US,20405004,PRECIOUS BLOOD RIRUTA,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
6523,NAIROBI,NAIROBI,KAMUKUNJI,3UKL,20400008,MOI FORCES,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6537,NAIROBI,NAIROBI,KASARANI,BWWU,20407056,KASARANI TREESIDE FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,MIXED
6542,NAIROBI,NAIROBI,KASARANI,KJTC,20400009,STAREHE GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6546,NAIROBI,NAIROBI,KIBRA,RF7R,20410001,MOI GIRLS SECONDARY,C1,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
6558,NAIROBI,NAIROBI,MAKADARA,PF86,20401007,BURUBURU GIRLS SECONDARY,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
6594,NAIROBI,NAIROBI,STAREHE,DZNA,20400006,PANGANI GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6597,NAIROBI,NAIROBI,STAREHE,YS3B,20400004,STAREHE BOYS,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6603,NAIROBI,NAIROBI,WESTLANDS,UX27,20400003,KENYA HIGH SCH,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6607,NAIROBI,NAIROBI,WESTLANDS,GHXC,20400002,NAIROBI SCH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6609,NAIROBI,NAIROBI,WESTLANDS,8XQJ,20406011,ST GEORGES GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6611,NAIROBI,NAIROBI,WESTLANDS,HFQ3,20406002,STATE HOUSE GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6647,RIFT VALLEY,NAKURU,GILGIL,D3WB,27500008,UTUMISHI BOYS ACADEMY,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6648,RIFT VALLEY,NAKURU,GILGIL,RE74,27500010,UTUMISHI GIRLS ACADEMY,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6739,RIFT VALLEY,NAKURU,MOLO,X77F,27538204,MARY MOUNT SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6743,RIFT VALLEY,NAKURU,MOLO,QNDP,27538208,MOLO ACADEMY BOYS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6788,RIFT VALLEY,NAKURU,NAIVASHA,8KPJ,27537301,NAIVASHA GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6818,RIFT VALLEY,NAKURU,NAKURU EAST,CJQE,27500009,NAKURU GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6819,RIFT VALLEY,NAKURU,NAKURU EAST,YGGK,27500002,NAKURU HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,BOYS
6821,RIFT VALLEY,NAKURU,NAKURU EAST,9WB9,27511533,NGALA SECONDARY SCHOOL FOR THE DEAF,C1,PUBLIC,SDNE,HI,BOARDING,Mixed
6834,RIFT VALLEY,NAKURU,NAKURU,5723,27536201,JOMO KENYATTA BOYS HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,BOYS
6843,RIFT VALLEY,NAKURU,NOAKRUTHRU,K44P,27500007,MOI FORCES ACADEMY LANET,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
6855,RIFT VALLEY,NAKURU,NOAKRUTHRU,NGR9,27536202,ST. BAKHITA BAHATI GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6903,RIFT VALLEY,NAKURU,NOJORRTOH,UL3F,27564101,NJORO BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7010,RIFT VALLEY,NANDI,CHESUMEI,JBLC,29500006,KAPSABET BOYS,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7032,RIFT VALLEY,NANDI,CHESUMEI,CF3V,29500025,ST. JOSEPH'S GIRLS - CHEPTERIT,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7055,RIFT VALLEY,NANDI,NANDI,YMEL,29513101,KAPSABET GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7056,RIFT VALLEY,NANDI,NCEANTDRI AL,FN98,29513104,KAPSABET SEC SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,MIXED
7232,RIFT VALLEY,NANDI,TCEI NDTERRAELT,DC6B,29542101,METEITEI BOYS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7253,RIFT VALLEY,NAROK,NAROK,KKEW,32589101,NAROK HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7256,RIFT VALLEY,NAROK,CNEANRTORKAL,HHG9,32500015,OLE TIPIS GIRLS HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
7420,RIFT VALLEY,NAROK,CTERNATNRS AMLARA,KUAC,32500016,KILGORIS BOYS SECONDARY SCHOOL,C1,PUBLIC,RDEGULAR,NONE,BOARDING,BOYS
7474,NYANZA,NYAMIRA,WMAENSTGA,VQT5,43700008,NYAMBARIA HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7533,NYANZA,NYAMIRA,NYAMIRA,UUZ3,43706115,KEBIRIGO HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7560,NYANZA,NYAMIRA,NYAMIRA,2GPC,43700012,SIRONGA GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7681,CENTRAL,NYANDARUA,NORTH,XQVS,07200009,KARIMA GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7689,CENTRAL,NYANDARUA,NKIONRATNHG OP,LNF2,07209102,MAGOMANO SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7721,CENTRAL,NYANDARUA,KNINYANDGOAPRUA,EEAR,07200014,NYANDARUA HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,Mixed
7756,CENTRAL,NYANDARUA,NYACNENDTARUA,H7H8,07214101,NYAHURURU HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7778,CENTRAL,NYANDARUA,SWOUESTTH,TBFM,07216101,NJABINI BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7889,CENTRAL,NYERI,MAKTINHAIRNAG OP,G26G,08200010,BISHOP GATIMU NGANDU GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7925,CENTRAL,NYERI,WMUEKSTURWE-,2ME7,08219116,REV. MUHORO SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,MIXED
7927,CENTRAL,NYERI,IMNUI KURWE-,9CZX,08219101,SOUTH TETU GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7944,CENTRAL,NYERI,INNYIERI,442P,08200007,KAGUMO HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7953,CENTRAL,NYERI,CNEYNETRRI AL,V6YZ,08202001,NYERI HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7982,CENTRAL,NYERI,NCEYNETRRI SAOLUTH,4FPL,08237012,MAHIGA GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7988,CENTRAL,NYERI,NYERI SOUTH,XCY9,08237005,OTHAYA BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8032,RIFT VALLEY,SAMBURU,SAMBURU,3LC3,22500024,KISIMA GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8044,RIFT VALLEY,SAMBURU,SCAEMNTBRUARU,5VVT,22500013,MARALAL HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8084,NYANZA,SIAYA,BCEONTDROA,4RA3,42712208,FR. OUDERAA SEC. SCHOOL FOR THE HEARING IMPAIRED,C1,PUBLIC,SNE,HI,BOARDING,Mixed
8092,NYANZA,SIAYA,BONDO,7XSS,42700005,MARANDA HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8095,NYANZA,SIAYA,BONDO,RYCM,42712113,NICO HAUSER SPECIAL SCHOOL FOR THE VISUALLY IMPAIR,C1,PUBLIC,SNE,VI,BOARDING,Mixed
8145,NYANZA,SIAYA,GEM YALA,WY37,42749107,SAWAGONGO HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8149,NYANZA,SIAYA,GEM YALA,7SG8,42749101,"ST. MARY'S SCHOOL, YALA",C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8180,NYANZA,SIAYA,RARIEDA,GB9M,42721202,RAMBA SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8192,NYANZA,SIAYA,RARIEDA,XBRN,42721201,ST MARY'S LWAK GIRLS' SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8228,NYANZA,SIAYA,SIAYA,XLHN,42700007,NGIYA GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8305,NYANZA,SIAYA,UGUNJA,9WL7,42738101,ST. FRANCIS RANG'ALA GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8324,COAST,TAITA,MWATATE,SPRV,1100004,BURA GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8328,COAST,TTAVITEAT A,MWATATE,L6WF,1100003,KENYATTA HIGH MWATATE,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8354,COAST,TTAIVTEAT A,TAITA,FV6C,1101101,DR.AGGREY HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8432,COAST,TTANVEAT RAIVER,TANA DELTA,YJHM,5100010,NGAO GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8445,COAST,TANA RIVER,TANA RIVER,6EFL,5100009,HOLA BOYS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8484,EASTERN,THARAKA,MAARA,M5PG,19326201,CHOGORIA BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8485,EASTERN,THARAKA,MAARA,3FF4,19300004,CHOGORIA GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8502,EASTERN,NTHITAHRIAKA,MAARA,9S4F,19326203,KIRIANI BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8524,EASTERN,NTHITAHRIAKA,MERU SOUTH,YTB4,19300010,IKUU BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8597,EASTERN,NTHITAHRIAKA,THARAKA,5CVM,19313120,KAMATUNGU SECONDARY SCHOOL FOR THE HEARING IMPA,C1,PUBLIC,SNE,H.I,BOARDING,Mixed
8670,RIFT VALLEY,TNRITAHNIS NZOIA,SKOIMUITNHINI,Q823,23500003,ST BRIGIDS KIMININI,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8671,RIFT VALLEY,TRANS NZOIA,KIMININI,27EL,23574101,ST. ANTHONY'S BOYS' HIGH SCHOOL - KITALE,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8842,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,9FRM,23500014,ST. JOSEPH'S BOYS HIGH SCHOOL - KITALE,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8860,RIFT VALLEY,TURKANA,WAREOSOT,8BQ6,21592302,KATILU GIRLS' SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8869,RIFT VALLEY,TURKANA,LOIMA,C2JL,21500021,TURKANA GIRLS' SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8881,RIFT VALLEY,TURKANA,TURKANA,9GYY,21500012,LODWAR BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
8936,RIFT VALLEY,UASIN GISHU,CAEI NATBRKAOLI,LVR8,26500001,MOI GIRLS' HIGH SCHOOL- ELDORET,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
9011,RIFT VALLEY,UASIN GISHU,MOIBEN,6WF4,26500002,A.I.C. CHEBISAAS BOYS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9110,RIFT VALLEY,UASIN GISHU,TURBO,YFES,26509114,PAUL BOIT BOYS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9184,WESTERN,VIHIGA,HAMISI,HYCG,38619102,NYANG'ORI BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9196,WESTERN,VIHIGA,LUANDA,A3ZW,38600003,BUNYORE GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
9218,WESTERN,VIHIGA,LUANDA,EYUH,38633221,ST. CLARE EBUKUYA SECONDARY SCHOOL FOR HEARING IM,C1,PUBLIC,SNE,HI,BOARDING,Mixed
9225,WESTERN,VIHIGA,SABATIA,VSCS,38600006,CHAVAKALI HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9235,WESTERN,VIHIGA,SABATIA,Y5NJ,38622203,FRIENDS SCHOOL KEVEYE GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
9344,NORTH,WAJIR,WAJIR EAST,P253,46800004,WAJIR GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
9345,ENAOSTRETRHN,WAJIR,WAJIR EAST,MMLZ,46800003,WAJIR HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9346,ENAOSTRETRHN,WAJIR,WAJIR EAST,EUX5,46802016,WAJIR SPECIAL SECONDARY FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,Mixed
9516,RIFETA VSTAELRLENY,WEST POKOT,WEST POKOT,XJVN,24500022,CHEWOYET HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9532,RIFT VALLEY,WEST POKOT,WEST POKOT,7KRE,24505104,KAPENGURIA SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9546,RIFT VALLEY,WEST POKOT,WEST POKOT,TAGT,24505102,NASOKOL GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
9556,RIFT VALLEY,WEST POKOT,WEST POKOT,PHVL,24505117,ST. FRANCIS SECONDARY SCHOOL FOR THE VISUALLY IMPA,C1,PUBLIC,SNE,VI,BOARDING,Mixed
9564,RIFT VALLEY,WEST POKOT,WEST POKOT,M4YT,24500004,ST.THERESA'S TARTAR GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
